E (HOMO)_acid_boltz,E (HOMO)_anion_boltz,E (HOMO)_interm_boltz,E (LUMO)_amine_boltz,E (LUMO)_anion_boltz,G THF_anion_boltz,IR-freq-C=O_acid_boltz,IR-freq-C=O_interm_boltz,IR-freq-CO2_asym-stretch_anion_boltz,IR-freq-CO2_sym-stretch_anion_boltz,IR-freq-N-H_bend_amine_boltz,IR-freq-N-H_sym-stretch _amine_boltz,IR-freq-O-H_acid_boltz,NBO-C1 C=O_acid_boltz,NBO-C1 C=O_anion_boltz,NBO-C4_acid_boltz,NBO-H5 O-H_acid_boltz,NBO-N1_amine_boltz,NBO-N3_interm_boltz,NBO-O2 C=O_acid_boltz,NBO-O2_interm_boltz,NBO-O3 O-H,NMR-C1 C=O_anion_boltz,NMR-C4_amine_boltz,Polarizability (1)_amine_boltz,Polarizability (1)_anion_boltz,Sterimol-B1-N1-C4_amine_boltz,Sterimol-B5-C1-C4_acid_boltz,Sterimol-B5-N1-C4_amine_boltz,Sterimol-L-C1-C4_interm_boltz,Sterimol-L-N1-C4_amine_boltz,Vbur-2.0A_anion_boltz,Vbur-3.0A_acid_boltz,Vbur-3.0A_amine_boltz,angle-H2-N1-H3_amine_boltz,angle-N3-C1-C4_interm_boltz,angle-N3-C1-O2_interm_boltz,angle-O2-C1-C4_acid_boltz,ave_NBO-H2-H3_amine_boltz,ave_NBO-O2-O3_anion_boltz,ave_NMR-H2-H3_amine_boltz,ave_angle-C4-N1-H2_C4-N1-H3_amine_boltz,delta_NBO-H2-H3_amine_boltz,delta_NBO-O2-O3_anion_boltz,delta_NMR-H2-H3_amine_boltz,delta_angle-C4-N1-H2_C4-N1-H3_amine_boltz,dihedral-C4-C1-N3-C5_interm_boltz,dipole_acid_boltz,dipole_amine_boltz,dipole_anion_boltz,dipole_interm_boltz,eta LUMO-HOMO_acid_boltz,eta_anion_boltz,g gas_amine_boltz,mu_acid_boltz,mu_amine_boltz,mu_interm_boltz,omega_amine_boltz,Coupling,Acid,Amine,rate,ln rate
-0.350960047,-0.256098948,-0.305633689,0.000329008,0.014671512,-612.3017336,1814.324445,1773.605116,1687.010329,1336.126927,1662.699373,3498.603283,3761.894948,0.860301243,0.826300002,-0.265230207,0.501492626,-0.879818631,-0.498497571,-0.618564349,-0.570459184,-0.711050563,-3.304039786,140.9683193,107.9344028,116.4070517,1.746078034,6.500451228,6.007450925,5.11889803,5.56217072,88.91026904,58.7779971,38.85102459,107.046272,115.5651161,120.2439177,125.950852,0.367261984,-0.807731488,30.64536802,109.8281279,0.006191759,0.001700661,1.115231053,0.658605291,123.4584993,1.657361471,3.155287688,9.881886201,3.874470033,0.349723522,0.270770461,-441.4519545,-0.176099078,-0.137955593,-0.16335788,0.034406646,Ac6-N15,Ac6,N15,0.0634,-2.758291418
-0.302946752,-0.2425,-0.299950722,0.000329008,0.01464,-538.0646468,1799.024299,1773.928111,1681.0907,1317.7671,1662.699373,3498.603283,3762.778162,0.860313134,0.81847,-0.176588163,0.496901685,-0.879818631,-0.505195918,-0.629122879,-0.581827709,-0.713887216,-6.3591,140.9683193,107.9344028,135.892,1.746078034,6.286349575,6.007450925,5.599495372,5.56217072,89.5751324,61.22622853,38.85102459,107.046272,118.157412,118.8585127,125.7673968,0.367261984,-0.815185,30.64536802,109.8281279,0.006191759,0.01649,1.115231053,0.658605291,116.6343363,1.954112974,3.155287688,10.8818,4.96456,0.302022178,0.25714,-441.4519545,-0.151939593,-0.137955593,-0.158504519,0.034406646,Ac5-N15,Ac5,N15,0.0713,-2.640858952
-0.302946752,-0.2425,-0.299950722,0.004167743,0.01464,-538.0646468,1799.024299,1773.928111,1681.0907,1317.7671,1664.033771,3503.287596,3762.778162,0.860313134,0.81847,-0.176588163,0.496901685,-0.889124441,-0.505195918,-0.629122879,-0.581827709,-0.713887216,-6.3591,134.8748925,91.31693309,135.892,1.7,6.286349575,5.885025777,5.599495372,6.079421498,89.5751324,61.22622853,38.43971574,107.3487459,118.157412,118.8585127,125.7673968,0.36376153,-0.815185,31.25276968,111.2664171,0.000645078,0.01649,0.664689913,0.320017797,116.6343363,1.954112974,1.912229795,10.8818,4.96456,0.302022178,0.25714,-330.4875166,-0.151939593,-0.146509679,-0.158504519,0.035613304,Ac5-N2,Ac5,N2,0.0766,-2.569158202
-0.350960047,-0.256098948,-0.305633689,-0.009802043,0.014671512,-612.3017336,1814.324445,1773.605116,1687.010329,1336.126927,1659.054626,3494.911965,3761.894948,0.860301243,0.826300002,-0.265230207,0.501492626,-0.879356174,-0.498497571,-0.618564349,-0.570459184,-0.711050563,-3.304039786,137.0363302,167.6758089,116.4070517,1.808569748,6.500451228,10.06648907,5.11889803,7.128639,88.91026904,58.7779971,37.56639443,107.0437428,115.5651161,120.2439177,125.950852,0.367590329,-0.807731488,30.81418157,110.429966,0.00326582,0.001700661,0.204591059,0.144384138,123.4584993,1.657361471,1.726050134,9.881886201,3.874470033,0.349723522,0.270770461,-557.9815674,-0.176099078,-0.142710327,-0.16335788,0.038309135,Ac6-N4,Ac6,N4,0.1145,-2.167180456
-0.30174,-0.251335005,-0.29621688,-0.019887314,0.01523,-536.8596476,1783.577553,1766.764619,1677.798149,1315.538251,1663.59863,3498.705843,3761.230497,0.85351,0.81354,-0.21132,0.49875,-0.880405794,-0.496816416,-0.65286,-0.583761304,-0.6991,-2.423600915,139.405671,139.2578667,133.093,1.796887292,5.861971041,7.079468286,5.832826569,5.655189822,88.25029965,56.47998664,39.58448318,106.807428,116.6616862,119.4795486,124.9,0.368050958,-0.812862497,30.64385272,110.3313565,0.003515597,0.019095005,0.580331644,0.631341866,99.75258174,1.9899,1.751256887,11.75905005,4.81382688,0.30197,0.266565005,-480.5675397,-0.15076,-0.14348195,-0.157530586,0.041645584,Ac17-N6,Ac17,N6,0.139,-1.973641123
-0.315460943,-0.246232234,-0.303702322,-0.000466807,0.010912205,-913.1925922,1801.901624,1774.825805,1708.481009,1331.754778,1657.303036,3495.846822,3761.182125,0.859728099,0.82311976,-0.181698981,0.500512534,-0.87856375,-0.500549987,-0.622778099,-0.578865674,-0.711934957,-3.008684952,150.5193919,126.5732363,161.206303,1.731845988,7.829864689,6.028797222,5.967171912,5.364099091,89.32796206,60.2527505,39.29569076,107.0831097,116.3667856,119.7979907,125.8652897,0.364846597,-0.801644528,30.75087874,109.6240706,0.002101153,0.00065403,0.791703745,0.48659456,107.5586719,3.996228746,3.924720322,11.72536289,5.260049805,0.302280969,0.257144439,-555.9855067,-0.164320458,-0.138240377,-0.163083547,0.034680752,AcC-NC,AcC,NC,0.1444,-1.935168053
-0.307659422,-0.25982,-0.305902985,-0.001306638,0.01021,-706.9278901,1814.12514,1790.865818,1667.6549,1301.7033,1662.349078,3510.79072,3756.978044,0.83957711,0.79147,-0.342269286,0.499762883,-0.890125248,-0.495367965,-0.623803067,-0.575824851,-0.71154599,-6.2153,141.0106026,160.640436,138.588,1.965330004,7.537510662,8.429819166,7.758785954,8.323555143,87.85456854,52.55743083,46.51336259,106.864271,115.1187069,120.4353296,126.157818,0.364431951,-0.81905,30.68554466,111.1733284,0.007898568,0.00084,0.629921856,1.85471351,93.0807542,3.4107721,4.388377761,17.6674,4.209991445,0.304613117,0.27003,-730.4258093,-0.155354525,-0.15120179,-0.16357465,0.038132015,AcB-NB_endo,AcB,NB_endo,0.1627,-1.816154626
-0.28812895,-0.2496,-0.291620423,-0.003160173,0.01586,-534.7117015,1780.668613,1766.784698,1664.139,1351.3142,1668.845932,3495.063558,3769.90831,0.823594788,0.78317,-0.234541453,0.497250608,-0.877825848,-0.489368183,-0.624956704,-0.570217812,-0.709420372,-3.6387,135.4655244,84.59259139,115.277,1.7505709,5.45571222,5.960390745,6.448187937,5.68604154,90.21519914,52.54337413,37.20715811,106.7013347,116.6554545,120.3712765,125.7672656,0.369110553,-0.800575,30.43430952,109.821115,0.006942688,0.00587,1.067387999,0.885549407,92.64446738,3.98423842,3.366978485,9.1627,6.488401746,0.264820918,0.26546,-342.9712336,-0.155715576,-0.154013851,-0.161104627,0.039315025,Ac4-N7,Ac4,N7,0.2922,-1.23048791
-0.28812895,-0.2496,-0.291620423,0.000880292,0.01586,-534.7117015,1780.668613,1766.784698,1664.139,1351.3142,1661.931775,3500.90084,3769.90831,0.823594788,0.78317,-0.234541453,0.497250608,-0.891160009,-0.489368183,-0.624956704,-0.570217812,-0.709420372,-3.6387,141.8199188,113.7497136,115.277,1.852308703,5.45571222,6.488482766,6.448187937,5.988747481,90.21519914,52.54337413,39.28737327,107.0472076,116.6554545,120.3712765,125.7672656,0.379079105,-0.800575,31.26841787,110.8071955,0.004977679,0.00587,0.455263086,0.207756124,92.64446738,3.98423842,2.042279437,9.1627,6.488401746,0.264820918,0.26546,-825.8599178,-0.155715576,-0.147924494,-0.161104627,0.036762516,Ac4-N3,Ac4,N3,0.3328,-1.100363822
-0.30174,-0.251335005,-0.29621688,0.004167743,0.01523,-536.8596476,1783.577553,1766.764619,1677.798149,1315.538251,1664.033771,3503.287596,3761.230497,0.85351,0.81354,-0.21132,0.49875,-0.889124441,-0.496816416,-0.65286,-0.583761304,-0.6991,-2.423600915,134.8748925,91.31693309,133.093,1.7,5.861971041,5.885025777,5.832826569,6.079421498,88.25029965,56.47998664,38.43971574,107.3487459,116.6616862,119.4795486,124.9,0.36376153,-0.812862497,31.25276968,111.2664171,0.000645078,0.019095005,0.664689913,0.320017797,99.75258174,1.9899,1.912229795,11.75905005,4.81382688,0.30197,0.266565005,-330.4875166,-0.15076,-0.146509679,-0.157530586,0.035613304,Ac17-N2,Ac17,N2,0.4886,-0.716313459
