,SMILES String,PC1,PC2,PC3,PC4,PC5,Cluster
Anion_0053,O=C([O-])CCCCCCCCCCS,3.779760186,-0.517136734,0.881593656,-0.673342268,0.629278987,11
Anion_0054,CCCCCCCCCCC(=O)[O-],1.041144054,7.029791608,-1.871950126,-1.649151705,2.534008869,19
Anion_0055,O=C([O-])C1CC1,7.115499419,-1.061946738,-2.001061665,-1.72176156,-0.918786152,11
Anion_0056,O=C([O-])C(c1ccccc1)c1ccccc1,2.828250206,-1.026491069,3.058521983,1.215446611,1.450226429,7
Anion_0057,COc1ccc(C=CC(=O)[O-])cc1,-2.41572522,0.806395074,-2.307839661,0.806880652,0.972114764,10
Anion_0058,O=C([O-])c1cc2ccccc2[nH]1,-1.484258417,-2.279665545,-1.622800428,-0.462612015,0.180840546,2
Anion_0059,CC(C)=CC(=O)[O-],3.354234281,-1.646200703,-1.705207998,-1.079768127,-1.211676114,20
Anion_0060,O=C([O-])Cc1ccc(Cl)cc1,0.871535352,0.911597565,-0.230622546,-0.783025916,-1.500229133,5
Anion_0061,C#CCCC(=O)[O-],4.357210949,0.414528612,-1.761487324,-1.071788723,-0.98204267,20
Anion_0062,O=C([O-])C(=O)Cc1ccccc1,-1.047094862,-4.144831964,-0.952397985,0.290549738,-0.127156586,8
Anion_0063,C=CCC(=O)[O-],4.486112647,-0.905919493,-1.218337785,-0.341223699,-1.823007065,20
Anion_0064,CCC(=O)C(=O)[O-],1.340624429,-4.99470472,-0.501134523,-0.833674508,-0.958108446,17
Anion_0065,COCC(=O)[O-],6.377622557,-0.802523445,-2.212606377,-2.692599623,-1.157832546,11
Anion_0066,CC=C(C)C(=O)[O-],3.331342745,-1.83119358,-1.165993556,-1.056298319,-0.818729612,20
Anion_0067,O=C([O-])Cc1ccc(F)cc1,1.501407121,0.52399441,-0.363987286,-0.413659123,-1.512069604,5
Anion_0068,O=C([O-])C1CCCC1,6.134411862,-0.44361376,-2.417006408,-0.685315089,0.236046559,11
Anion_0069,CCOC(=O)CC(=O)[O-],3.335770775,-0.027435133,-1.213069757,-0.493179024,-1.202374745,20
Anion_0070,O=C([O-])Cc1ccc(Br)cc1,0.57540999,1.304088027,-0.131473531,-0.832741034,-1.231581265,5
Anion_0071,CC(C)CCC(=O)[O-],5.903410768,1.128113753,-2.165401958,-1.564972953,-0.429090311,1
Anion_0072,CC(C)(C)OC(=O)N1CCC(C(=O)[O-])CC1,1.907399081,2.706442589,-1.384627568,-0.559400017,2.30750401,1
