code_name,SMILES
Anion_0118,O=C([O-])C(=O)Cc1c[nH+]c2cccc[c-]12
Anion_0119,O=C([O-])Cc1cccc(Br)c1
Anion_0120,O=C([O-])Cc1ccc(C(F)(F)F)cc1
Anion_0121,CCCC=CC(=O)[O-]
Anion_0122,CCOC(=O)C=CC(=O)[O-]
Anion_0123,O=C([O-])C=Cc1ccc(F)cc1
Anion_0124,O=C([O-])COc1ccc2ccccc2c1
Anion_0125,CCCCCCCCCCC/C=C\CCCCC(=O)[O-]
Anion_0126,COC(=O)CCCCC(=O)[O-]
Anion_0127,O=C([O-])Cc1ccccc1Br
Anion_0128,O=C([O-])c1cc2ccccc2s1
Anion_0129,CCC=CC(=O)[O-]
Anion_0130,CC(C)=CCCC(C)=CC(=O)[O-]
Anion_0131,O=C([O-])C1=CCCCC1
Anion_0132,O=C([O-])CCC1=[N+]=C(c2ccccc2)C(=C2C=CC=C[CH-]2)O1
Anion_0133,O=C([O-])CN1C(=O)C[S+]=C1[S-]
Anion_0134,CCCCCCCCCCCCCC=CC(=O)[O-]
Anion_0135,O=C([O-])CCCC(=O)c1ccccc1
Anion_0136,O=C([O-])CC12CC3CC(CC(C3)C1)C2
Anion_0137,O=C([O-])CF
Anion_0138,O=C([O-])Cc1ccc2c(c1)OCO2
Anion_0139,COC1=CC=CC(=CC=C([O-])[O-])[CH+]1
Anion_0140,COC1=CC(=CC=C([O-])[O-])C=C(OC)[C+]1OC
Anion_0141,O=C([O-])Cc1ccc(Cl)c(Cl)c1
Anion_0142,C=CCCCCC(=O)[O-]
Anion_0143,O=C([O-])c1ccc(Cl)s1
Anion_0144,Cc1c[n+](CC(=O)[O-])c([O-])[nH+]c1[O-]
Anion_0145,COc1cc(CC(=O)[O-])cc(OC)c1OC
Anion_0146,Cc1ccc(C(=O)[O-])s1
Anion_0147,CC=C(C)C(=O)[O-]
Anion_0148,O=C([O-])C=Cc1ccc2c(c1)OCO2
Anion_0149,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-]
