code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0037,CN(C)CC(=O)[O-],4.8696,-4.2077,0.6619,2.6342,-9.6051,10.0136,-1.0,259.1864,-69.9839,-1.887,-1.702099999999999
Anion_0038,O=C([O-])CCCc1ccccc1,1.5368,-4.6004000000000005,-3.0635,3.2044,-4.7909,14.5675,-1.0,350.1557,-68.6233,-1.8546,0.7591999999999991
Anion_0039,CC=CC=CC(=O)[O-],1.5590000000000002,-4.6219,-3.0628,3.2175,-4.8203,17.1406,-1.0,299.1875,-73.1623,-2.3623,-0.131399999999999
Anion_0040,C#CC(=O)[O-],4.0323,-4.7041,-0.6718000000000001,3.7382,-8.0274,7.08,-1.0,208.2179,-68.0748,-2.4349,-1.6305
Anion_0041,O=C([O-])C(=O)c1ccccc1,1.5592,-5.0091,-3.4499,3.225,-4.2019,12.7721,-1.0,313.3863,-67.2338,-2.3668,-0.3808
Anion_0042,COc1ccc(CC(=O)[O-])cc1,2.4417,-4.9218,-2.4801,2.9645,-5.3476,14.342,-1.0,350.1878,-65.8703,-2.1552,-0.0124
Anion_0043,O=C([O-])c1cccs1,2.2448,-5.1252,-2.8804,3.6609,-4.9391,11.255,-1.0,265.8479,-69.0504,-2.1777,0.111599999999999
Anion_0044,CCCCCCC/C=C/CCCCCC(=O)[O-],1.2681,-4.3942,-3.1261,3.1027,-5.2642,35.1554,-1.0,566.158,-70.1843,-2.2445,3.603500000000002
Anion_0045,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-],2.016,-5.2538,-3.2378,3.3024,-4.5509,9.219,-1.0,385.3185,-63.4126,-2.013,1.247299999999999
Anion_0046,C=CCCCCCCCCC(=O)[O-],0.8536,-4.4117,-3.5581,3.1388,-5.1383,21.2366,-0.5241,437.3549,-69.7074,-2.0665,2.043099999999999
Anion_0047,O=C([O-])COc1ccccc1,2.2757,-4.9978,-2.7222,3.2588,-5.2483,11.3206,-1.0,319.8269,-66.3092,-2.0424,-0.1847
Anion_0048,CCCCCCCC/C=C/CCCCCCCC(=O)O,4.0381,-10.4104,-6.3723,7.595,-1.3824,1.9595,0.0,645.8589,-10.6122,-6.0979,6.108500000000006
Anion_0049,O=C([O-])C#Cc1ccccc1,1.591,-5.1572,-3.5662000000000003,3.6793,-4.0395,19.055,-1.0,336.6688,-69.6576,-2.3501,-0.212
Anion_0050,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,5.4996,-6.7843,-1.2847,5.4651,-7.476,5.912,-1.0,294.0831,-48.8109,-2.4069000000000003,0.569199999999999
Anion_0051,C=CCCC(=O)[O-],2.4223,-4.564,-2.1418,3.2426,-6.4834,12.3034,-1.0,273.0666,-67.5473,-2.0429,-0.2975
Anion_0052,O=C([O-])C12CC3CC(CC(C3)C1)C2,5.1834,-4.5035,0.6799000000000001,2.8441,-9.463,14.547,-1.0,337.4171,-69.4994,-1.8035,0.9526999999999992
Anion_0053,O=C([O-])CCCCCCCCCCS,0.7901,-4.5616,-3.7715,3.1551,-4.182,14.8475,-0.8522000000000001,457.205,-68.9972,-2.5752,2.177
Anion_0054,CCCCCCCCCCC(=O)[O-],5.3158,-4.3766,0.9392,3.1397,-9.0777,29.1169,-1.0,455.1846,-69.8372,-2.1697,2.2671
Anion_0055,O=C([O-])C1CC1,5.2593,-4.4262,0.8331000000000001,3.2193,-9.8411,9.848,-1.0,236.7872,-68.2487,-2.0235,-0.8537
Anion_0056,O=C([O-])C(c1ccccc1)c1ccccc1,2.6741,-5.3255,-2.6514,3.0322,-4.3992,9.297,-1.0,407.23,-61.3022,-1.5878,1.5683999999999991
Anion_0057,COc1ccc(C=CC(=O)[O-])cc1,1.2843,-4.8105,-3.5262,3.2588,-3.9172,22.4129,-1.0,375.1158,-73.0152,-2.5622,0.458299999999999
Anion_0058,O=C([O-])c1cc2ccccc2[nH]1,2.1343,-5.1846,-3.0503,3.5198,-4.4857,14.272,-1.0,326.9188,-66.7298,-2.6322,0.5314
Anion_0059,CC(C)=CC(=O)[O-],3.0498,-4.435,-1.3852,3.0712,-6.8273,12.71,-1.0,265.6978,-72.3911,-2.2194,-0.2975
Anion_0060,O=C([O-])Cc1ccc(Cl)cc1,2.4338,-5.3233,-2.8895,3.3162000000000003,-4.7423,8.361,-1.0,331.8381,-59.1687,-1.8643,0.6323999999999991
Anion_0061,C#CCCC(=O)[O-],3.9089,-4.5687,-0.6598,3.31,-7.7891,10.7791,-1.0,267.3397,-67.3554,-2.2903,-0.8503000000000001
Anion_0062,O=C([O-])C(=O)Cc1ccccc1,1.8141,-4.9659,-3.1518,3.3097,-4.3229,13.872,-1.0,336.5071,-65.8857,-2.3392,-0.4519
Anion_0063,C=CCC(=O)[O-],3.4005,-4.6196,-1.2191,3.1231,-7.1956,8.5461,-1.0,243.6871,-65.1278,-1.9138,-0.6876
