code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0152,O=C([O-])CC(F)(F)F,5.5556,-5.5771,-0.0215,4.488,-8.9708,6.385,-1.0,248.9446,-58.1147,-2.737,-0.311299999999999
Anion_0153,Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C,1.0446,-5.5966000000000005,-4.552,3.3578,-2.5452,11.1034,-1.0,460.2378,-65.6182,-2.5746,1.855439999999999
Anion_0154,O=C([O-])CC(c1ccccc1)c1ccccc1,1.6635,-4.9639,-3.3005,3.3211,-3.8483,14.6792,-1.0,429.9831,-68.3809,-2.0089,1.9585
Anion_0155,O=C([O-])CC1CC1,5.2722,-4.4033,0.8688,3.127,-9.3617,11.4968,-1.0,263.3662,-68.4697,-1.9764,-0.4636
Anion_0156,CC(C)(C(=O)[O-])c1ccccc1,2.6447000000000003,-4.9388000000000005,-2.2941000000000003,2.9517,-5.416,9.448,-1.0,340.3689,-63.9958,-1.6051000000000002,0.7140999999999991
Anion_0157,CCOC(=O)CCC(=O)[O-],4.9786,-5.9435,-0.9649,4.1758,-7.7129,6.36,-1.0,310.7376,-65.5828,-2.2185,-0.9204
Anion_0158,COc1ccccc1C=CC(=O)[O-],1.2538,-4.7944,-3.5406,3.2431,-3.9492,18.6382,-1.0,368.1884,-73.6638,-2.5172,0.458299999999999
Anion_0159,O=Cc1ccc(C(=O)[O-])o1,1.1241,-5.7739,-4.6498,4.2456,-3.292,8.144,-1.0,293.6958,-59.444,-2.5472,-0.5444
Anion_0160,O=C([O-])Cc1ccccc1F,2.5097,-5.1606,-2.6509,3.31,-5.1226,10.996,-1.0,312.9477,-65.0064,-2.3506,0.118099999999999
Anion_0161,O=C([O-])Cc1cccc(F)c1,2.5674,-5.2422,-2.6748000000000003,3.3848000000000003,-5.0975,9.577,-1.0,316.5374,-61.1589,-2.3722,0.118099999999999
Anion_0162,O=C([O-])CCC1CCCCC1,5.2741,-4.383,0.8912,3.1246,-9.7939,16.1473,-1.0,345.6536,-70.1837,-1.9873,1.096799999999999
Anion_0163,O=C([O-])CCCCCN1C(=O)C=CC1=O,2.1218,-6.2498000000000005,-4.128,4.1542,-3.6038,6.5217,-1.0,369.4002,-60.9988,-2.5178000000000003,-0.7783000000000001
Anion_0164,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1,2.6638,-5.5457,-2.8819,3.0373,-3.923,8.2758,-1.0,486.1963,-59.6236,-1.3712,2.770900000000001
Anion_0165,CCCC(=O)C(=O)[O-],2.2458,-4.6469000000000005,-2.4011,3.2477,-6.5563,12.2346,-1.0,279.6053,-66.3883,-2.4139,-0.8945000000000001
Anion_0166,COc1ccc(C(=O)CCC(=O)[O-])cc1,1.0953,-5.3255,-4.2303,3.5296000000000003,-3.2363,14.8769,-1.0,399.7846,-66.2291,-2.7619,0.407999999999999
Anion_0167,CCOCC(=O)[O-],5.0069,-4.625,0.3819,3.3173,-9.3455,9.0129,-1.0,257.5622,-67.4899,-2.0009,-1.2272
Anion_0168,C#CCCCCC(=O)[O-],3.3134,-4.478,-1.1646,3.1887,-7.3022,12.9174,-1.0,314.2482,-68.4605,-2.2044,-0.0701
Anion_0169,COC(=O)CC(=O)[O-],3.5823,-5.4103,-1.828,3.9641,-6.611,9.2141,-1.0,273.0323,-63.9902,-2.6222,-1.700599999999999
Anion_0170,O=C([O-])C1c2ccccc2-c2ccccc21,2.4378,-5.5552,-3.1174,3.2041,-4.0642,8.574,-1.0,388.3897,-56.3179,-1.4596,1.548799999999999
Anion_0171,C[n+]1c(C(=O)[O-])cc2cccc[c-]21,2.0791,-5.0886,-3.0095,3.3584,-4.4886,13.649,-1.0,342.8295,-67.927,-1.976,-0.2533
Anion_0172,COc1ccc(C(=O)C(=O)[O-])cc1,1.5065,-4.9762,-3.4697,3.1472,-4.1101,17.5918,-1.0,357.0206,-69.6145,-2.7344,-0.3722
Anion_0173,C#CCCCCCCCCC(=O)[O-],2.2412,-4.4018,-2.1605,3.1476,-6.3855,22.3132,-1.0,432.8305,-70.6557,-2.3015,1.4903
Anion_0174,CCC(C)(C)C(=O)[O-],5.1978,-4.3553,0.8425,2.9153,-9.7637,10.2264,-1.0,284.5499,-68.8888,-1.7332,0.172499999999999
Anion_0175,COc1ccc(C#CC(=O)[O-])cc1,1.6876,-5.1351,-3.4475,3.5732,-4.048,24.189,-1.0,380.7581,-71.3283,-2.7071,-0.2034
Anion_0177,C=CCCCCCCCC(=O)[O-],0.7107,-4.3876,-3.6769,3.1477,-5.04,22.4427,-0.4244,414.6954,-69.6004,-2.1275,1.6529999999999991
Anion_0178,CC(=O)CCCCC(=O)[O-],1.7439,-4.9904,-3.2465,3.48,-5.4046,7.1012,-1.0,321.4171,-63.8495,-2.4451,-0.1143
Anion_0179,COc1ccc(CCC(=O)[O-])cc1OC,2.009,-4.7995,-2.7906,3.2049,-4.9482,12.9537,-1.0,402.4852,-69.3871,-2.4129,0.386299999999999
Anion_0180,O=C([O-])C=Cc1ccccc1Cl,0.9986,-5.0228,-4.0243,3.4709,-3.4131,17.6594,-1.0,351.9777,-72.146,-2.4194,1.1031
Anion_0181,Cc1ccc(C(=O)C(=O)[O-])cc1,1.5357,-4.9573,-3.4216,3.1336,-4.1491,16.4639,-1.0,342.0508,-70.0734,-2.5367,-0.07238
Anion_0182,O=C([O-])C(=O)c1ccc(Cl)cc1,1.5194,-5.3679,-3.8485,3.453,-3.6403,9.7941,-1.0,339.5861,-61.1311,-2.3841,0.272599999999999
Anion_0183,O=C([O-])CC1CCCC1,5.2166,-4.4156,0.801,3.0985,-9.7543,12.1472,-1.0,296.8051,-69.1252,-1.8181,0.316599999999999
Anion_0184,COC(=O)CCCC(=O)[O-],5.0524,-5.872,-0.8196,3.9047,-7.4518,6.6856,-1.0,306.3379,-67.2695,-2.1695,-0.9204
Anion_0185,O=C([O-])C1=[N+]=[NH+]c2ccccc21,2.1587,-15.1174,-12.9587,13.0886,4.948,4.594,1.0,321.6395,-51.4211,-2.7946,-2.388299999999998
Anion_0186,CCC=CCC(=O)[O-],3.4225,-4.6690000000000005,-1.2465,3.0071,-6.9389,11.4233,-1.0,291.4401,-65.8591,-1.8003,0.0926
Anion_0187,O=C([O-])c1cc[nH+][n-]1,2.5448,-4.513,-1.9682,3.2634,-6.2953,13.482,-1.0,253.0273,-80.1791,-3.6512,-2.178599999999999
Anion_0188,CSCC(=O)[O-],3.6625,-5.058,-1.3955,3.2743,-6.3965,6.099,-1.0,248.807,-63.3016,-1.9161,-0.9007000000000001
Anion_0189,Cc1ccc(C(=O)CCC(=O)[O-])cc1,1.0533,-5.3157,-4.2623,3.5175,-3.1917,14.6807,-1.0,384.9508,-66.7694,-2.5724,0.707819999999999
Anion_0190,O=C([O-])CC=Cc1ccccc1,1.9851,-5.252,-3.2669,3.0474,-4.0894,13.2235,-1.0,361.2757,-61.5351,-1.8189,0.8398
Anion_0191,O=C([O-])c1cc2cc3c4c(c2oc1=O)CCCN4CCC3,1.0588,-5.2147,-4.1559,3.2923,-3.0496,29.9596,-1.0,474.2493,-88.1017,-3.3396,0.8553000000000001
Anion_0193,O=C([O-])C=Cc1cccnc1,0.9589,-5.0176,-4.0587,3.4226,-3.5562,15.6771,-1.0,324.0637,-70.0987,-2.2639,-0.1553
Anion_0194,CC1(C(=O)[O-])CCCCC1,5.2115,-4.4285,0.783,2.9290000000000003,-9.6838,10.7911,-1.0,308.8605,-68.922,-1.6484,0.7066999999999991
Anion_0195,O=C([O-])Cc1cc2ccccc2[nH]1,2.5435,-5.4051,-2.8616,3.2608,-4.6905,11.904,-1.0,352.5789,-59.2342,-2.1428,0.460299999999999
Anion_0196,O=C([O-])C1CCCCCC1,5.2513,-4.4708,0.7805000000000001,3.0361,-9.6415,14.5713,-1.0,315.6661,-69.3666,-1.8895,0.7066999999999991
Anion_0197,O=C([O-])CCC(=O)c1ccc(Cl)cc1,0.9335,-5.6213,-4.6877,3.7624,-2.6723,10.0165,-1.0,381.6169,-60.6767,-2.4882,1.052799999999999
Anion_0198,Cc1ccc(OCC(=O)[O-])cc1,2.2652,-4.9661,-2.701,3.1585,-5.2009,14.4065,-1.0,348.9176,-68.0481,-2.1659,0.123719999999999
Anion_0199,O=C([O-])CCC(=O)OCc1ccccc1,2.9097,-6.1267,-3.217,4.1428,-4.4966,10.3708,-1.0,394.2492,-66.283,-2.1564,0.259899999999999
Anion_0200,CC(=O)OCC(=O)[O-],5.001,-5.8825,-0.8815000000000001,4.1487,-7.4794,6.3636,-1.0,260.097,-62.6735,-2.37,-1.700599999999999
