code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
Anion_0144,Cc1c[n+](CC(=O)[O-])c([O-])[nH+]c1[O-],1.6455000000000002,-5.7502,-4.1047,4.2297,-3.7973,8.496,-1.0,347.9645,-62.1587,-4.7185,-4.9275,110.3213,0.2932,8.027,0.1246,0.2162,0.0029,8.1222,9.4788,-0.0651,77.7157,-4.006279999999998
Anion_0145,COc1cc(CC(=O)[O-])cc(OC)c1OC,2.7423,-5.1781,-2.4358,3.1472,-5.0827,11.8904,-1.0,427.1108,-66.8008,-2.642,-3.8069,148.6455,0.185,8.2299,0.1215,-0.9678,0.0569,34.6864,8.1354,-0.6935,80.7407,0.004799999999999
Anion_0146,Cc1ccc(C(=O)[O-])s1,2.2781,-5.0811,-2.803,3.5507,-4.914,14.851,-1.0,296.2979,-72.648,-2.3985,-3.9421,96.0582,0.2503,8.4647,0.1181,-0.6816,0.0274,20.5677,9.3789,-0.904,71.1654,0.420019999999999
Anion_0147,CC=C(C)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,
Anion_0148,O=C([O-])C=Cc1ccc2c(c1)OCO2,1.1416,-4.9675,-3.8259,3.3867000000000003,-3.6352,20.0199,-1.0,370.6614,-69.2158,-2.7293000000000003,-4.3967,125.874,0.5053,7.0219,0.1424,-0.1243,0.0011,13.1946,8.5159,0.9013,54.723,0.178399999999999
Anion_0149,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],3.3679,-5.1076,-1.7397,3.3295,-6.492,21.7745,-1.0,562.582,-65.9518,-2.5332,-3.4236,198.846,0.0764,9.8215,0.1018,-1.5812,0.1273,64.278,7.8672,-1.9017,102.0692,2.115599999999999
Anion_0150,O=C([O-])Cc1cccnc1,2.2512,-5.1858,-2.9346,3.3264,-5.0227,9.387,-1.0,298.688,-63.5971,-1.843,-4.0602,94.6707,0.2631,8.3491,0.1198,-0.8482000000000001,0.0431,27.1887,8.8925,-1.2608,75.0133,-0.626
Anion_0151,CC(=Cc1ccccc1)C(=O)[O-],1.7024,-4.8891,-3.1867,3.2496,-4.3125,12.4208,-1.0,348.4629,-69.2058,-2.0284,-4.0379,121.7593,0.364,7.5621,0.1323,-0.5315,0.0192,20.6287,8.7043,0.1202,65.8873,0.8397999999999991
Anion_0152,O=C([O-])CC(F)(F)F,5.5556,-5.5771,-0.0215,4.488,-8.9708,6.385,-1.0,248.9446,-58.1147,-2.737,-2.7993,51.274,0.0078,13.4588,0.0743,-2.2414,0.1866,53.3333,11.7831,-6.6896,139.7737,-0.311299999999999
Anion_0153,Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C,1.0446,-5.5966000000000005,-4.552,3.3578,-2.5452,11.1034,-1.0,460.2378,-65.6182,-2.5746,-5.0743,197.5138,0.5958,5.9030000000000005,0.1694,0.4063,0.014,8.332699999999999,7.8678,2.6872,48.7896,1.855439999999999
Anion_0154,O=C([O-])CC(c1ccccc1)c1ccccc1,1.6635,-4.9639,-3.3005,3.3211,-3.8483,14.6792,-1.0,429.9831,-68.3809,-2.0089,-4.1326,173.4922,0.3936,7.1694,0.1395,-0.2637,0.0049,15.3465,8.3465,1.3648,81.3276,1.9585
Anion_0155,O=C([O-])CC1CC1,5.2722,-4.4033,0.8688,3.127,-9.3617,11.4968,-1.0,263.3662,-68.4697,-1.9764,-1.7672,66.3485,0.0107,12.4886,0.0801,-3.1173,0.3891,,9.5867,-5.8507,131.9759,-0.4636
Anion_0156,CC(C)(C(=O)[O-])c1ccccc1,2.6447000000000003,-4.9388000000000005,-2.2941000000000003,2.9517,-5.416,9.448,-1.0,340.3689,-63.9958,-1.6051000000000002,-3.6165,122.7647,0.1984,8.3677,0.1195,-1.2322,0.0907,56.5931,8.3412,-1.2707,82.4385,0.7140999999999991
Anion_0157,CCOC(=O)CCC(=O)[O-],4.9786,-5.9435,-0.9649,4.1758,-7.7129,6.36,-1.0,310.7376,-65.5828,-2.2185,-3.4542,89.3865,0.0176,11.8887,0.0841,-1.7685,0.1316,41.0962,9.5998,-4.7622,131.1217,-0.9204
Anion_0158,COc1ccccc1C=CC(=O)[O-],1.2538,-4.7944,-3.5406,3.2431,-3.9492,18.6382,-1.0,368.1884,-73.6638,-2.5172,-4.1675,126.4589,0.4605,7.1923,0.1391,-0.3531,0.0087,17.2367,8.608,0.5583,57.936,0.458299999999999
